ref,Partname,X,Y,R,size_x,size_y,top,bot,left,right
C1901,AT07-102337,53.491,21.932,270,0.6,0.3,1,0,1,0
C1903,AT07-102344,61.704,22.892,270,0.6,0.3,1,0,1,0
C1904,AT07-102344,61.704,26.592,270,0.6,0.3,1,0,1,0
C1905,AT07-102344,61.704,23.817,270,0.6,0.3,1,0,1,0
C1906,AT07-102344,70.944,26.3611,90,0.6,0.3,1,0,1,0
C1907,AT07-102344,70.944,29.1361,270,0.6,0.3,1,0,1,0
C1908,AT07-102344,70.944,28.2111,270,0.6,0.3,1,0,1,0
C1909,AT07-102344,70.944,25.4361,270,0.6,0.3,1,0,1,0
C1910,AT07-102344,70.944,24.5111,270,0.6,0.3,1,0,1,0
C1911,AT07-102344,70.944,22.6611,270,0.6,0.3,1,0,1,0
C1912,AT07-102344,70.944,23.5861,270,0.6,0.3,1,0,1,0
C1924,AT07-102344,67.274,30.542,0,0.6,0.3,1,0,1,0
C1925,AT07-102344,70.944,27.2861,270,0.6,0.3,1,0,1,0
C1926,AT07-102344,61.704,21.967,270,0.6,0.3,1,0,1,0
C1946,2203-010563,41.601,24.663,180,0.6,0.3,1,0,1,0
C1948,AT07-102333,45.968,31.507,180,0.6,0.3,1,0,1,0
C1949,AT07-102333,48.768,31.042,0,0.6,0.3,1,0,1,0
C1950,AT07-102333,45.043,31.507,180,0.6,0.3,1,0,1,0
C1951,AT07-102333,44.118,31.507,180,0.6,0.3,1,0,1,0
C1952,AT07-102344,61.704,24.742,270,0.6,0.3,1,0,1,0
C2000,AT07-102344,43.198,22.892,270,0.6,0.3,1,0,1,0
C2001,AT07-102337,72.091,21.147,90,0.6,0.3,1,0,1,0
C2002,AT07-102344,43.198,26.592,270,0.6,0.3,1,0,1,0
C2003,AT07-102344,43.198,23.817,270,0.6,0.3,1,0,1,0
C2004,AT07-102344,43.198,25.667,270,0.6,0.3,1,0,1,0
C2005,AT07-102344,43.198,24.742,270,0.6,0.3,1,0,1,0
C2006,AT07-102344,52.438,28.2111,270,0.6,0.3,1,0,1,0
C2007,AT07-102344,52.438,29.1361,270,0.6,0.3,1,0,1,0
C2008,AT07-102344,52.438,25.4361,270,0.6,0.3,1,0,1,0
C2009,AT07-102344,52.438,23.5861,270,0.6,0.3,1,0,1,0
C2010,AT07-102344,52.438,22.6611,270,0.6,0.3,1,0,1,0
C2011,AT07-102344,52.438,24.5111,270,0.6,0.3,1,0,1,0
C2012,AT07-102344,48.768,30.542,0,0.6,0.3,1,0,1,0
C2013,AT07-102344,52.438,26.3611,90,0.6,0.3,1,0,1,0
C2024,AT07-102344,52.438,27.2861,270,0.6,0.3,1,0,1,0
C2025,AT07-102344,43.198,21.967,270,0.6,0.3,1,0,1,0
C2100,2203-010563,49.4272,15.027,270,0.6,0.3,1,0,1,0
C2101,AT07-102334,54.799,26.897,180,0.6,0.3,1,0,1,0
C2102,2203-010563,43.905,16.451,180,0.6,0.3,1,0,1,0
C2103,AT07-102334,54.799,26.072,180,0.6,0.3,1,0,1,0
C2104,AT07-102334,53.414,26.884,0,0.6,0.3,1,0,1,0
C2105,AT07-102334,53.414,25.234,180,0.6,0.3,1,0,1,0
C2106,AT07-102272,47.832,19.327,180,0.6,0.3,1,0,1,0
C2122,AT07-102337,64.746,14.349,90,0.6,0.3,1,0,1,0
C2123,AT07-102337,68.151,14.349,90,0.6,0.3,1,0,1,0
